System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
23:19:11:646, 257848852426550,    0.530,   59.000, 3300,  29.686,  15.721,   4.367,  28.024,  14.841,   4.122, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:11:967, 257849654571690,    0.851,   42.000, 3300,  40.946,  28.879,   8.022,  37.968,  27.043,   7.512, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:12:343, 257850592863449,    1.227,   40.000, 3300,  38.594,  43.388,  12.052,  36.372,  40.716,  11.310, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:12:682, 257851437820063,    1.565,   44.000, 3300,  26.979,  52.521,  14.589,  24.803,  49.112,  13.642, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:12:909, 257852005160097,    1.793,   38.000, 3300,  22.133,  57.552,  15.987,  19.974,  53.652,  14.903, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:13:376, 257853172160568,    2.260,   44.000, 3300,  38.257,  75.439,  20.955,  36.030,  70.498,  19.583, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:13:640, 257853829786551,    2.524,   35.000, 3300,  39.911,  85.954,  23.876,  37.719,  80.436,  22.343, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:13:864, 257854389407815,    2.748,   37.000, 3300,  30.873,  92.876,  25.799,  28.818,  86.897,  24.138, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:14:112, 257855007828719,    2.996,   37.000, 3300,  32.312, 100.882,  28.023,  30.229,  94.387,  26.218, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:14:309, 257855498591375,    3.192,   34.000, 3300,  24.200, 105.640,  29.344,  22.148,  98.741,  27.428, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:14:434, 257855812042574,    3.318,   30.000, 3300,  26.894, 109.017,  30.283,  24.866, 101.864,  28.296, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:14:565, 257856136259276,    3.448,   32.000, 3300,  22.653, 111.960,  31.100,  20.547, 104.533,  29.037, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:14:693, 257856456467292,    3.576,   35.000, 3300,  21.433, 114.709,  31.864,  19.369, 107.018,  29.727, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:14:901, 257856976847538,    3.785,   35.000, 3300,  33.049, 121.600,  33.778,  31.001, 113.481,  31.522, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:15:026, 257857287908487,    3.909,   32.000, 3300,  18.179, 123.865,  34.407,  16.353, 115.519,  32.089, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:15:162, 257857627974581,    4.045,   41.000, 3300,  33.795, 128.469,  35.686,  31.654, 119.832,  33.287, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:15:306, 257857988159595,    4.190,   57.000, 3300,  49.650, 135.634,  37.676,  47.341, 126.663,  35.184, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
